form,lemma,part_of_speech,id_sen
Алгоритм,алгоритм,NOUN,0.0
",",",",PUNCT,0.0
от,от,ADP,0.0
имени,имя,NOUN,0.0
учёного,ученый,NOUN,0.0
аль,аль,PART,0.0
-,-,PUNCT,0.0
Хорезми,Хорезми,PROPN,0.0
",",",",PUNCT,0.0
-,-,PUNCT,0.0
точный,точный,ADJ,0.0
набор,набор,NOUN,0.0
инструкций,инструкция,NOUN,0.0
",",",",PUNCT,0.0
описывающих,описывать,VERB,0.0
порядок,порядок,NOUN,0.0
действий,действие,NOUN,0.0
исполнителя,исполнитель,NOUN,0.0
для,для,ADP,0.0
достижения,достижение,NOUN,0.0
результата,результат,NOUN,0.0
решения,решение,NOUN,0.0
задачи,задача,NOUN,0.0
за,за,ADP,0.0
конечное,конечный,ADJ,0.0
время,время,NOUN,0.0
.,.,PUNCT,0.0
В,в,ADP,1.0
старой,старый,ADJ,1.0
трактовке,трактовка,NOUN,1.0
вместо,вместо,ADP,1.0
слова,слово,NOUN,1.0
"""","""",PUNCT,1.0
порядок,порядок,NOUN,1.0
"""","""",PUNCT,1.0
использовалось,использовать,VERB,1.0
слово,слово,NOUN,1.0
"""","""",PUNCT,1.0
последовательность,последовательность,NOUN,1.0
"""","""",PUNCT,1.0
",",",",PUNCT,1.0
но,но,CCONJ,1.0
по,по,ADP,1.0
мере,мера,NOUN,1.0
развития,развитие,NOUN,1.0
параллельности,параллельность,NOUN,1.0
в,в,ADP,1.0
работе,работа,NOUN,1.0
компьютеров,компьютер,NOUN,1.0
слово,слово,NOUN,1.0
"""","""",PUNCT,1.0
последовательность,последовательность,NOUN,1.0
"""","""",PUNCT,1.0
стали,стать,VERB,1.0
заменять,заменять,VERB,1.0
более,более,ADV,1.0
общим,общий,ADJ,1.0
словом,слово,NOUN,1.0
"""","""",PUNCT,1.0
порядок,порядок,NOUN,1.0
"""","""",PUNCT,1.0
.,.,PUNCT,1.0
Это,это,PRON,2.0
связано,связать,VERB,2.0
с,с,ADP,2.0
тем,то,PRON,2.0
",",",",PUNCT,2.0
что,что,SCONJ,2.0
работа,работа,NOUN,2.0
каких-то,какой-то,DET,2.0
инструкций,инструкция,NOUN,2.0
алгоритма,алгоритм,NOUN,2.0
может,мочь,VERB,2.0
быть,быть,AUX,2.0
зависима,зависимый,ADJ,2.0
от,от,ADP,2.0
других,другой,ADJ,2.0
инструкций,инструкция,NOUN,2.0
или,или,CCONJ,2.0
результатов,результат,NOUN,2.0
их,их,DET,2.0
работы,работа,NOUN,2.0
.,.,PUNCT,2.0
Таким,такой,DET,3.0
образом,образ,NOUN,3.0
",",",",PUNCT,3.0
некоторые,некоторый,DET,3.0
инструкции,инструкция,NOUN,3.0
должны,должен,ADJ,3.0
выполняться,выполнять,VERB,3.0
строго,строго,ADV,3.0
после,после,ADP,3.0
завершения,завершение,NOUN,3.0
работы,работа,NOUN,3.0
инструкций,инструкция,NOUN,3.0
",",",",PUNCT,3.0
от,от,ADP,3.0
которых,который,PRON,3.0
они,они,PRON,3.0
зависят,зависеть,VERB,3.0
.,.,PUNCT,3.0
Независимые,независимый,ADJ,4.0
инструкции,инструкция,NOUN,4.0
или,или,CCONJ,4.0
инструкции,инструкция,NOUN,4.0
",",",",PUNCT,4.0
ставшие,стать,VERB,4.0
независимыми,независимый,ADJ,4.0
из-за,из-за,ADP,4.0
завершения,завершение,NOUN,4.0
работы,работа,NOUN,4.0
инструкций,инструкция,NOUN,4.0
",",",",PUNCT,4.0
от,от,ADP,4.0
которых,который,PRON,4.0
они,они,PRON,4.0
зависят,зависеть,VERB,4.0
",",",",PUNCT,4.0
могут,мочь,VERB,4.0
выполняться,выполнять,VERB,4.0
в,в,ADP,4.0
произвольном,произвольный,ADJ,4.0
порядке,порядок,NOUN,4.0
",",",",PUNCT,4.0
параллельно,параллельно,ADV,4.0
или,или,CCONJ,4.0
одновременно,одновременно,ADV,4.0
",",",",PUNCT,4.0
если,если,SCONJ,4.0
это,это,PRON,4.0
позволяют,позволять,VERB,4.0
используемые,использовать,VERB,4.0
процессор,процессор,NOUN,4.0
и,и,CCONJ,4.0
операционная,операционный,ADJ,4.0
система,система,NOUN,4.0
.,.,PUNCT,4.0
Ранее,ранее,ADV,5.0
часто,часто,ADV,5.0
писали,писать,VERB,5.0
"""","""",PUNCT,5.0
алгорифм,алгорифм,NOUN,5.0
"""","""",PUNCT,5.0
",",",",PUNCT,5.0
сейчас,сейчас,ADV,5.0
такое,такой,DET,5.0
написание,написание,NOUN,5.0
используется,использовать,VERB,5.0
редко,редко,ADV,5.0
",",",",PUNCT,5.0
но,но,CCONJ,5.0
",",",",PUNCT,5.0
тем,то,PRON,5.0
не,не,PART,5.0
менее,менее,ADV,5.0
",",",",PUNCT,5.0
имеет,иметь,VERB,5.0
место,место,NOUN,5.0
(,(,PUNCT,5.0
например,например,ADV,5.0
",",",",PUNCT,5.0
Нормальный,нормальный,ADJ,5.0
алгорифм,алгорифм,NOUN,5.0
Маркова,Марков,PROPN,5.0
),),PUNCT,5.0
.,.,PUNCT,5.0
Часто,часто,ADV,6.0
в,в,ADP,6.0
качестве,качество,NOUN,6.0
исполнителя,исполнитель,NOUN,6.0
выступает,выступать,VERB,6.0
некоторый,некоторый,DET,6.0
механизм,механизм,NOUN,6.0
(,(,PUNCT,6.0
компьютер,компьютер,NOUN,6.0
",",",",PUNCT,6.0
токарный,токарный,ADJ,6.0
станок,станок,NOUN,6.0
",",",",PUNCT,6.0
швейная,швейный,ADJ,6.0
машина,машина,NOUN,6.0
),),PUNCT,6.0
",",",",PUNCT,6.0
но,но,CCONJ,6.0
понятие,понятие,NOUN,6.0
алгоритма,алгоритм,NOUN,6.0
необязательно,необязательно,ADV,6.0
относится,относиться,VERB,6.0
к,к,ADP,6.0
компьютерным,компьютерный,ADJ,6.0
программам,программа,NOUN,6.0
",",",",PUNCT,6.0
так,так,ADV,6.0
",",",",PUNCT,6.0
например,например,ADV,6.0
",",",",PUNCT,6.0
чётко,четко,ADV,6.0
описанный,описать,VERB,6.0
рецепт,рецепт,NOUN,6.0
приготовления,приготовление,NOUN,6.0
блюда,блюдо,NOUN,6.0
также,также,ADV,6.0
является,являться,VERB,6.0
алгоритмом,алгоритм,NOUN,6.0
",",",",PUNCT,6.0
в,в,ADP,6.0
таком,такой,DET,6.0
случае,случай,NOUN,6.0
исполнителем,исполнитель,NOUN,6.0
является,являться,VERB,6.0
человек,человек,NOUN,6.0
.,.,PUNCT,6.0
Определения,определение,NOUN,7.0
алгоритма,алгоритм,NOUN,7.0
.,.,PUNCT,7.0
Единого,единый,ADJ,8.0
"""","""",PUNCT,8.0
истинного,истинный,ADJ,8.0
"""","""",PUNCT,8.0
определения,определение,NOUN,8.0
понятия,понятие,NOUN,8.0
"""","""",PUNCT,8.0
алгоритм,алгоритм,NOUN,8.0
"""","""",PUNCT,8.0
нет,нет,VERB,8.0
.,.,PUNCT,8.0
"""","""",PUNCT,9.0
Алгоритм,алгоритм,NOUN,9.0
-,-,PUNCT,9.0
это,это,PRON,9.0
конечный,конечный,ADJ,9.0
набор,набор,NOUN,9.0
правил,правило,NOUN,9.0
